location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR
ngc6441_ejected,9.2,0.140946678,0.558276977,17.921491,19.638828,0.025100928
ngc6388_ejected,10.9,0.088144268,0.139771465,21.044207,23.93546,0.025060045
ngc6171_ejected,6.0,0.168974355,0.552358647,23.464836,19.834294,0.024894502
ngc6626_ejected,5.5,0.119049603,0.445380676,16.364165,16.485312,0.024812207
ngc5904_ejected,7.0,0.090604072,0.264315865,16.259437,17.299724,0.024677585
ngc1851_ejected,11.7,0.086483566,0.371431596,14.09881,16.422555,0.024578302
ngc5272_ejected,9.7,0.143065424,0.62774361,18.509969,13.287604,0.024511484
ngc6752_ejected,3.8,0.127422816,0.454764622,15.595909,15.827051,0.024314569
ngc6553_ejected,4.1,0.274810211,0.873613586,7.8561379,8.9495317,0.024128599
ngc6171_ejected,6.0,0.143099866,0.053985853,41.714677,41.581241,0.024109024
ngc6584_ejected,12.5,0.260797562,0.799938535,17.289199,20.982578,0.024070329
IC4499_ejected,17.6,0.119021881,0.345083609,31.931867,25.335262,0.023916944
ngc5986_ejected,10.0,0.143065424,0.62774361,18.509969,13.287604,0.023776139
ngc104_ejected,4.1,0.162975232,0.156703674,54.333366,26.151543,0.023690501
ngc4372_ejected,4.6,0.252380971,0.69273403,18.656835,26.014941,0.023634315
ngc6544_ejected,2.4,0.377177099,0.835337366,17.178558,13.351239,0.023602768
ngc4590_ejected,9.9,0.144451809,0.289953887,29.239033,40.5,0.023585169
Djor2_ejected,13.2,0.146133272,0.649845869,16.268251,16.535731,0.023423502
ngc6401_ejected,7.2,0.178360016,0.582403046,16.799847,28.695917,0.023246611
ngc6626_ejected,5.5,0.100088293,0.352511694,15.60343,14.600749,0.023184832
ngc7078_ejected,10.0,0.140946678,0.558276977,17.921491,19.638828,0.023092854
ngc6715_ejected,25.4,0.086563547,0.395400705,18.025703,18.303755,0.022899917
ngc1261_ejected,15.2,0.205222275,0.803142946,14.230546,13.602985,0.022793314
ngc6121_ejected,2.1,0.202755586,0.477795152,16.769165,32.337118,0.022757535
ngc6517_ejected,10.1,0.07491425,0.343034117,13.223985,11.191126,0.022716449
ngc2419_ejected,90.4,0.13233772,0.724543911,19.475635,19.555718,0.022547802
ngc6171_ejected,6.0,0.215743927,0.70756043,20.571543,15.317301,0.022533301
ngc6304_ejected,5.6,0.151463861,0.557203884,16.135368,18.403658,0.022392202
ngc6266_ejected,6.6,0.113906716,0.372642279,17.536613,19.136847,0.022368999
ngc104_ejected,4.1,0.212032461,0.679921051,17.680429,16.576536,0.022186534
ngc6809_ejected,5.1,0.174305403,0.221411196,40.5,40.5,0.022137907
IC1276_ejected,8.9,0.138707271,0.518631654,19.258683,19.375778,0.022012335
ngc6171_ejected,6.0,0.099059177,0.357287443,13.263563,16.663544,0.02200507
ngc6401_ejected,7.2,0.209818346,0.418063834,41.402011,40.871256,0.02170008
ngc362_ejected,8.0,0.090604072,0.264315865,16.259437,17.299724,0.021592887
ngc6341_ejected,8.0,0.090604072,0.264315865,16.259437,17.299724,0.021592887
ngc6254_ejected,4.1,0.161467363,0.499621905,17.218712,22.24646,0.021483184
ngc6637_ejected,7.8,0.178360016,0.582403046,16.799847,28.695917,0.02145841
ngc7089_ejected,11.1,0.143065424,0.62774361,18.509969,13.287604,0.021419945
ngc6266_ejected,6.6,0.131351695,0.167332704,22.484445,41.805901,0.021266838
ngc6388_ejected,10.9,0.140946678,0.558276977,17.921491,19.638828,0.021186104
ngc6752_ejected,3.8,0.275121821,0.77083141,16.224569,15.826815,0.021153568
ngc6316_ejected,10.9,0.07491425,0.343034117,13.223985,11.191126,0.021049187
ngc6723_ejected,8.2,0.294029515,0.64370441,34.792666,41.570523,0.020983344
ngc6293_ejected,8.6,0.114495144,0.396691758,19.25425,18.179713,0.020843193
ngc6401_ejected,7.2,0.168974355,0.552358647,23.464836,19.834294,0.020745418
ngc6569_ejected,8.1,0.178360016,0.582403046,16.799847,28.695917,0.020663655
ngc6121_ejected,2.1,0.178165552,0.488846988,16.187044,21.232606,0.020558738
ngc3201_ejected,4.9,1.999024728,0.980785171,17.241971,13.327111,0.020466099
pal_11_ejected,11.9,0.484604754,0.806107086,41.328414,42.168294,0.020347477
ngc6638_ejected,7.8,0.253921346,0.38080258,79.812658,41.575033,0.020345007
ngc4590_ejected,9.9,0.278732411,0.790282204,16.669975,22.670462,0.020201424
ngc6401_ejected,7.2,0.143099866,0.053985853,41.714677,41.581241,0.020090853
ngc6637_ejected,7.8,0.209818346,0.418063834,41.402011,40.871256,0.020030843
ngc6809_ejected,5.1,0.288848034,0.266040431,74.910202,77.09013,0.019999758
ngc6144_ejected,9.8,0.138707271,0.518631654,19.258683,19.375778,0.019990794
ngc6656_ejected,3.1,0.167416667,0.382105493,17.029914,32.334762,0.019920807
ngc6752_ejected,3.8,0.501895297,0.895526672,15.425585,13.507727,0.019615764
ngc6809_ejected,5.1,0.411898247,0.839781898,16.622862,23.613023,0.019615712
ngc6266_ejected,6.6,0.269231501,0.770021754,16.591571,19.601134,0.019441539
ngc6717_ejected,6.6,0.272715806,0.642516415,30.330908,32.289739,0.0194216
ngc6496_ejected,10.9,0.191396419,0.446672601,32.966793,41.829396,0.019414095
ngc104_ejected,4.1,0.126427079,0.080718611,20.476341,36.790963,0.019333854
ngc6569_ejected,8.1,0.209818346,0.418063834,41.402011,40.871256,0.01928896
ngc5272_ejected,9.7,0.192193293,0.725822039,16.178455,14.783603,0.019271176
ngc6656_ejected,3.1,0.138776761,0.451601014,16.262247,14.945437,0.019170612
ngc6637_ejected,7.8,0.168974355,0.552358647,23.464836,19.834294,0.019149617
